last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,nchs_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000,location
2020-09-04 00:28:22 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",1001,32.53952745,-86.64408227,Medium metro,55200,1349,2443.84,23,41.67,POINT(-86.64408227 32.53952745)
2020-09-04 00:28:22 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",1003,30.72774991,-87.72207058,Small metro,208107,4495,2159.95,40,19.22,POINT(-87.72207058 30.72774991)
2020-09-04 00:28:22 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",1005,31.868263,-85.3871286,Non-core,25782,614,2381.51,7,27.15,POINT(-85.3871286 31.868263)
2020-09-04 00:28:22 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",1007,32.99642064,-87.1251146,Large fringe metro,22527,542,2406,6,26.63,POINT(-87.1251146 32.99642064)
2020-09-04 00:28:22 UTC,county,Alabama,Blount,"Blount, Alabama, US",1009,33.98210918,-86.56790593,Large fringe metro,57645,1037,1798.94,11,19.08,POINT(-86.56790593 33.98210918)
2020-09-04 00:28:22 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",1011,32.10030533,-85.71265535,Non-core,10352,541,5226.04,13,125.58,POINT(-85.71265535 32.10030533)
2020-09-04 00:28:22 UTC,county,Alabama,Butler,"Butler, Alabama, US",1013,31.75300095,-86.68057478,Non-core,20025,841,4199.75,36,179.78,POINT(-86.68057478 31.75300095)
2020-09-04 00:28:22 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",1015,33.77483727,-85.82630386,Small metro,115098,2447,2126.01,31,26.93,POINT(-85.82630386 33.77483727)
2020-09-04 00:28:22 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",1017,32.91360079,-85.39072749,Micropolitan,33826,850,2512.86,39,115.3,POINT(-85.39072749 32.91360079)
2020-09-04 00:28:22 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",1019,34.17805983,-85.60638968,Non-core,25853,354,1369.28,11,42.55,POINT(-85.60638968 34.17805983)
2020-09-04 00:28:22 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",1021,32.85044126,-86.7173256,Large fringe metro,43930,1102,2508.54,10,22.76,POINT(-86.7173256 32.85044126)
2020-09-04 00:28:22 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",1023,32.02227341,-88.2656443,Non-core,13075,319,2439.77,12,91.78,POINT(-88.2656443 32.02227341)
2020-09-04 00:28:22 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",1025,31.68099859,-87.83548597,Non-core,24387,917,3760.2,13,53.31,POINT(-87.83548597 31.68099859)
2020-09-04 00:28:22 UTC,county,Alabama,Clay,"Clay, Alabama, US",1027,33.26984193,-85.85836077,Non-core,13378,368,2750.78,6,44.85,POINT(-85.85836077 33.26984193)
2020-09-04 00:28:22 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",1029,33.67679204,-85.52005899,Non-core,14938,222,1486.14,5,33.47,POINT(-85.52005899 33.67679204)
2020-09-04 00:28:22 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",1031,31.39932826,-85.98901039,Micropolitan,51288,959,1869.83,5,9.75,POINT(-85.98901039 31.39932826)
2020-09-04 00:28:22 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",1033,34.69847452,-87.80168544,Small metro,54495,1458,2675.47,22,40.37,POINT(-87.80168544 34.69847452)
2020-09-04 00:28:22 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",1035,31.43401703,-86.99320044,Non-core,12514,432,3452.13,11,87.9,POINT(-86.99320044 31.43401703)
2020-09-04 00:28:22 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",1037,32.93690146,-86.24847739,Micropolitan,10855,110,1013.36,3,27.64,POINT(-86.24847739 32.93690146)
2020-09-04 00:28:22 UTC,county,Alabama,Covington,"Covington, Alabama, US",1039,31.2477854,-86.45050893,Non-core,37351,800,2141.84,25,66.93,POINT(-86.45050893 31.2477854)
2020-09-04 00:28:22 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",1041,31.72941803,-86.31593104,Non-core,13865,394,2841.69,28,201.95,POINT(-86.31593104 31.72941803)
2020-09-04 00:28:22 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",1043,34.13020303,-86.86888037,Micropolitan,82313,1448,1759.14,15,18.22,POINT(-86.86888037 34.13020303)
2020-09-04 00:28:22 UTC,county,Alabama,Dale,"Dale, Alabama, US",1045,31.43037123,-85.61095742,Micropolitan,49255,1015,2060.7,41,83.24,POINT(-85.61095742 31.43037123)
2020-09-04 00:28:22 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",1047,32.32688101,-87.1086671,Micropolitan,40029,1428,3567.41,25,62.45,POINT(-87.1086671 32.32688101)
2020-09-04 00:28:22 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",1049,34.45946862,-85.80782906,Non-core,71200,2080,2921.35,15,21.07,POINT(-85.80782906 34.45946862)
2020-09-04 00:28:22 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",1051,32.59785413,-86.14415284,Medium metro,81212,2054,2529.18,43,52.95,POINT(-86.14415284 32.59785413)
2020-09-04 00:28:22 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",1053,31.1256789,-87.15918694,Non-core,37328,1234,3305.83,22,58.94,POINT(-87.15918694 31.1256789)
2020-09-04 00:28:22 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",1055,34.04567266,-86.04051873,Small metro,102939,2708,2630.68,42,40.8,POINT(-86.04051873 34.04567266)
2020-09-04 00:28:22 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",1057,33.72076938,-87.73886638,Non-core,16585,300,1808.86,6,36.18,POINT(-87.73886638 33.72076938)
2020-09-04 00:28:22 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",1059,34.44235334,-87.84289505,Non-core,31542,1570,4977.49,27,85.6,POINT(-87.84289505 34.44235334)
2020-09-04 00:28:22 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",1061,31.09389027,-85.83572839,Small metro,26491,387,1460.87,3,11.32,POINT(-85.83572839 31.09389027)
2020-09-04 00:28:22 UTC,county,Alabama,Greene,"Greene, Alabama, US",1063,32.85504247,-87.95684022,Non-core,8426,278,3299.31,14,166.15,POINT(-87.95684022 32.85504247)
2020-09-04 00:28:22 UTC,county,Alabama,Hale,"Hale, Alabama, US",1065,32.76039258,-87.63284988,Small metro,14887,531,3566.87,27,181.37,POINT(-87.63284988 32.76039258)
2020-09-04 00:28:22 UTC,county,Alabama,Henry,"Henry, Alabama, US",1067,31.51148016,-85.24267944,Small metro,17124,338,1973.84,3,17.52,POINT(-85.24267944 31.51148016)
2020-09-04 00:28:22 UTC,county,Alabama,Houston,"Houston, Alabama, US",1069,31.15197924,-85.29939599,Small metro,104352,1875,1796.8,15,14.37,POINT(-85.29939599 31.15197924)
2020-09-04 00:28:22 UTC,county,Alabama,Jackson,"Jackson, Alabama, US",1071,34.78144169,-85.99750489,Micropolitan,52094,1294,2483.97,7,13.44,POINT(-85.99750489 34.78144169)
2020-09-04 00:28:22 UTC,county,Alabama,Jefferson,"Jefferson, Alabama, US",1073,33.55554728,-86.895063,Large central metro,659892,16240,2461.01,305,46.22,POINT(-86.895063 33.55554728)
2020-09-04 00:28:22 UTC,county,Alabama,Lamar,"Lamar, Alabama, US",1075,33.77995024,-88.09668032,Non-core,13933,276,1980.91,2,14.35,POINT(-88.09668032 33.77995024)
2020-09-04 00:28:22 UTC,county,Alabama,Lauderdale,"Lauderdale, Alabama, US",1077,34.90171875,-87.65624729,Small metro,92585,1443,1558.57,24,25.92,POINT(-87.65624729 34.90171875)
2020-09-04 00:28:22 UTC,county,Alabama,Lawrence,"Lawrence, Alabama, US",1079,34.52041498,-87.31069453,Small metro,33171,486,1465.14,5,15.07,POINT(-87.31069453 34.52041498)
2020-09-04 00:28:22 UTC,county,Alabama,Lee,"Lee, Alabama, US",1081,32.60154883,-85.35132246,Small metro,159287,3384,2124.47,49,30.76,POINT(-85.35132246 32.60154883)
2020-09-04 00:28:22 UTC,county,Alabama,Limestone,"Limestone, Alabama, US",1083,34.81185586,-86.98310072,Medium metro,93052,1667,1791.47,15,16.12,POINT(-86.98310072 34.81185586)
2020-09-04 00:28:22 UTC,county,Alabama,Lowndes,"Lowndes, Alabama, US",1085,32.1597283,-86.65158371,Medium metro,10236,600,5861.66,24,234.47,POINT(-86.65158371 32.1597283)
2020-09-04 00:28:22 UTC,county,Alabama,Macon,"Macon, Alabama, US",1087,32.38759944,-85.69267724,Non-core,19054,401,2104.54,17,89.22,POINT(-85.69267724 32.38759944)
2020-09-04 00:28:22 UTC,county,Alabama,Madison,"Madison, Alabama, US",1089,34.76327133,-86.55069633,Medium metro,357560,6382,1784.88,55,15.38,POINT(-86.55069633 34.76327133)
